City,State short,State full,City alias
Holtsville,NY,New York,Internal Revenue Service
Holtsville,NY,New York,Holtsville
Adjuntas,PR,Puerto Rico,URB San Joaquin
Adjuntas,PR,Puerto Rico,Jard De Adjuntas
Adjuntas,PR,Puerto Rico,Colinas Del Gigante
Adjuntas,PR,Puerto Rico,Adjuntas
Aguada,PR,Puerto Rico,Comunidad Las Flores
Aguada,PR,Puerto Rico,URB Isabel La Catolica
Aguada,PR,Puerto Rico,Alts De Aguada
Aguada,PR,Puerto Rico,Bo Guaniquilla
Aguada,PR,Puerto Rico,Aguada
Aguada,PR,Puerto Rico,Ext Los Robles
Aguadilla,PR,Puerto Rico,Ramey
Aguadilla,PR,Puerto Rico,Aguadilla
Aguadilla,PR,Puerto Rico,Repto Lopez
Aguadilla,PR,Puerto Rico,URB Maleza Gdns
Aguadilla,PR,Puerto Rico,URB Victoria
Aguadilla,PR,Puerto Rico,Repto Tres Palmas
Aguadilla,PR,Puerto Rico,Sect Las Villas
Aguadilla,PR,Puerto Rico,URB Garcia
Aguadilla,PR,Puerto Rico,Villa Linda
Aguadilla,PR,Puerto Rico,Villa Universitaria
Aguadilla,PR,Puerto Rico,Bo Ceiba Baja
Aguadilla,PR,Puerto Rico,URB Borinquen
Aguadilla,PR,Puerto Rico,Villa Alegria
Aguadilla,PR,Puerto Rico,Vista Alegre
Aguadilla,PR,Puerto Rico,URB San Carlos
Aguadilla,PR,Puerto Rico,Bda Caban
Aguadilla,PR,Puerto Rico,Ext El Prado
Aguadilla,PR,Puerto Rico,URB Esteves
Aguadilla,PR,Puerto Rico,URB Ramey
Aguadilla,PR,Puerto Rico,Villas De Almeria
Aguadilla,PR,Puerto Rico,Bda Esteves
Aguadilla,PR,Puerto Rico,URB Las Americas
Aguadilla,PR,Puerto Rico,URB Las Casitas Country Club
Aguadilla,PR,Puerto Rico,URB Santa Marta
Aguadilla,PR,Puerto Rico,Ext Marbella
Aguadilla,PR,Puerto Rico,Repto Juan Aguiar
Aguadilla,PR,Puerto Rico,Villa Lydia
Aguadilla,PR,Puerto Rico,Bo Borinquen
Aguadilla,PR,Puerto Rico,Repto Jimenez
